antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",frozenset({'KidsPets_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",frozenset({'Shopping_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Shopping_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'KidsPets_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Entertainment_Freq'}),"frozenset({'Shopping_Freq', 'KidsPets_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'KidsPets_Freq', 'Travel_Freq'})",frozenset({'Entertainment_Freq'}),0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'Travel_Freq'})",frozenset({'KidsPets_Freq'}),0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
frozenset({'Travel_Freq'}),"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.902,1.0,0.902,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})",frozenset({'Grocery_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
frozenset({'PersonalCare_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.813,1.0,0.813,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'PersonalCare_Freq'})",frozenset({'Entertainment_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})",frozenset({'Shopping_Freq'}),0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
frozenset({'PersonalCare_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.919,1.0,0.919,1.0,1.0,0.0,inf,0.0
"frozenset({'PersonalCare_Freq', 'Travel_Freq'})",frozenset({'Entertainment_Freq'}),0.829,1.0,0.829,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Miscellaneous_Freq'})",frozenset({'Entertainment_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
frozenset({'Miscellaneous_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.89,1.0,0.89,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",frozenset({'Grocery_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Grocery_Freq'})",frozenset({'Entertainment_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",frozenset({'Shopping_Freq'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Shopping_Freq'}),"frozenset({'Grocery_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Entertainment_Freq'}),"frozenset({'Shopping_Freq', 'Grocery_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'Grocery_Freq'}),"frozenset({'Shopping_Freq', 'Entertainment_Freq'})",1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
